Date,Holiday Name,Type
2026-01-01,New Year's Day,National
2026-01-14,Makar Sankranti / Pongal,Hindu
2026-01-26,Republic Day,National
2026-02-02,Basant Panchami,Hindu
2026-02-19,Chhatrapati Shivaji Maharaj Jayanti,Observance
2026-02-26,Maha Shivaratri,Hindu
2026-03-20,Holi,Hindu
2026-03-30,Ram Navami,Hindu
2026-04-02,Mahavir Jayanti,Jain
2026-04-03,Good Friday,Christian
2026-04-05,Easter Sunday,Christian
2026-04-06,Eid ul-Fitr (Ramzan Eid),Muslim
2026-04-14,Dr. Ambedkar Jayanti,Observance
2026-04-14,Baisakhi / Vishu / Tamil New Year,Hindu
2026-05-05,Buddha Purnima,Buddhist
2026-06-13,Eid ul-Adha (Bakrid),Muslim
2026-07-03,Muharram,Muslim
2026-08-15,Independence Day,National
2026-08-16,Janmashtami,Hindu
2026-09-03,Ganesh Chaturthi,Hindu
2026-09-12,Milad-un-Nabi (Eid-e-Milad),Muslim
2026-10-02,Gandhi Jayanti,National
2026-10-14,Dussehra (Vijayadashami),Hindu
2026-10-20,Diwali (Deepavali),Hindu
2026-10-22,Bhai Dooj,Hindu
2026-10-27,Guru Nanak Jayanti,Sikh
2026-11-04,Chhath Puja,Hindu
2026-12-25,Christmas,Christian
2026-12-30,Guru Gobind Singh Jayanti,Sikh
